checksum1,checksum2,dataset,dataset_type,join_chunk,join_count,join_schedule,join_task_grain,join_threads,join_throughput,join_time,max_key,mpi_nodes,mpi_partition_strategy,mpi_processes,nr,ns,offset_task_grain,partition_block_size,partition_chunk,partition_schedule,partition_task_grain,partition_threads,partition_throughput,partition_time,skew_fraction,skew_partition_fraction,time_sec,total_throughput,verified
6185417096973469475,16931092769743058723,uniform,uniform,0,2499986166,static,1,1,67516342.172890,1.481123,1000000,1,block,1,50000000,50000000,1,32768,0,static,1,1,51417879.399927,1.944849,0.000000,1.000000,3.428511,29167180.189513,false
12610816366499644757,12079717592018431889,skewed,skewed_90_5,0,40578723119,static,1,1,57606871.009963,1.735904,1000000,1,block,1,50000000,50000000,1,32768,0,static,1,1,89230560.896798,1.120692,0.900000,0.050000,2.859069,34976421.135956,false
12347604091913951299,2033051395823430535,skewed,skewed_90_1,0,173507209024,static,1,1,43872118.506959,2.279352,1000000,1,block,1,50000000,50000000,1,32768,0,static,1,1,126196113.085460,0.792417,0.900000,0.010000,3.073950,32531435.783105,false
6185417096973469475,16931092769743058723,uniform,uniform,0,2499986166,static,1,1,67649390.750020,1.478210,1000000,1,block,1,50000000,50000000,1,32768,0,static,1,1,51388095.122559,1.945976,0.000000,1.000000,3.426703,29182566.949542,false
12610816366499644757,12079717592018431889,skewed,skewed_90_5,0,40578723119,static,1,1,60873351.818277,1.642755,1000000,1,block,1,50000000,50000000,1,32768,0,static,1,1,88825624.984007,1.125801,0.900000,0.050000,2.771115,36086557.150814,false
12347604091913951299,2033051395823430535,skewed,skewed_90_1,0,173507209024,static,1,1,43814355.290514,2.282357,1000000,1,block,1,50000000,50000000,1,32768,0,static,1,1,125454677.384639,0.797101,0.900000,0.010000,3.081984,32446631.443731,false
6185417096973469475,16931092769743058723,uniform,uniform,0,2499986166,static,1,1,67579114.450539,1.479747,1000000,1,block,1,50000000,50000000,1,32768,0,static,1,1,51883138.045116,1.927408,0.000000,1.000000,3.409468,29330092.088411,false
12610816366499644757,12079717592018431889,skewed,skewed_90_5,0,40578723119,static,1,1,60709500.997811,1.647189,1000000,1,block,1,50000000,50000000,1,32768,0,static,1,1,88557827.239222,1.129206,0.900000,0.050000,2.778930,35985075.549903,false
12347604091913951299,2033051395823430535,skewed,skewed_90_1,0,173507209024,static,1,1,43748549.401139,2.285790,1000000,1,block,1,50000000,50000000,1,32768,0,static,1,1,125420343.744650,0.797319,0.900000,0.010000,3.085483,32409832.461089,false
6185417096973469475,16931092769743058723,uniform,uniform,0,2499986166,static,1,1,67404879.606303,1.483572,1000000,1,block,1,50000000,50000000,1,32768,0,static,1,1,51336915.544357,1.947916,0.000000,1.000000,3.433761,29122588.862229,false
12610816366499644757,12079717592018431889,skewed,skewed_90_5,0,40578723119,static,1,1,60753962.878632,1.645983,1000000,1,block,1,50000000,50000000,1,32768,0,static,1,1,88721894.883472,1.127117,0.900000,0.050000,2.775682,36027181.854890,false
12347604091913951299,2033051395823430535,skewed,skewed_90_1,0,173507209024,static,1,1,43813374.636685,2.282408,1000000,1,block,1,50000000,50000000,1,32768,0,static,1,1,125852958.320113,0.794578,0.900000,0.010000,3.079500,32472807.827294,false
6185417096973469475,16931092769743058723,uniform,uniform,0,2499986166,static,1,1,67635685.796595,1.478509,1000000,1,block,1,50000000,50000000,1,32768,0,static,1,1,51787625.900138,1.930963,0.000000,1.000000,3.411704,29310870.134715,false
12610816366499644757,12079717592018431889,skewed,skewed_90_5,0,40578723119,static,1,1,61336371.986140,1.630354,1000000,1,block,1,50000000,50000000,1,32768,0,static,1,1,88978772.538667,1.123864,0.900000,0.050000,2.756622,36276281.092930,false
12347604091913951299,2033051395823430535,skewed,skewed_90_1,0,173507209024,static,1,1,42697867.308815,2.342037,1000000,1,block,1,50000000,50000000,1,32768,0,static,1,1,125519708.622882,0.796688,0.900000,0.010000,3.141238,31834581.356659,false
